Athlete_ID,Gender,Name,Nationality
727,M,Clement Smoot,United States
728,M,Warren Wood,United States
729,M,Frederick Semple,United States
730,M,Stuart Stickney,United States
731,M,William Stickney,United States
732,M,John Cady,United States
733,M,Albert Lambert,United States
734,M,Harry Potter,United States
735,M,Ralph McKittrick,United States
736,M,John Maxwell,United States
737,M,George Oliver,United States
738,M,Simeon Price,United States
739,M,John Rahm,United States
740,M,Allen Lard,United States
741,M,Orus Jones,United States
742,M,Arthur Hussey,United States
743,M,Jesse Carleton,United States
744,M,Douglas Cadwallader,United States
745,M,Harold Fraser,United States
746,M,Harold Weber,United States
747,M,Julius Lenhart,Austria
748,M,Wilhelm Weber,Germany
749,M,Adolf Spinnler,Switzerland
750,M,Anton Heida,United States
751,M,George Eyser,United States
752,M,Ernst Reckeweg,United States
753,M,Max Hess,United States
754,M,Philipp Kassel,United States
755,M,John Bissinger,United States
756,M,Emil Beyer,United States
757,M,Arthur Rosenkampff,United States
758,M,Julian Schmitz,United States
759,M,Otto Steffen,United States
760,M,Max Wolf,United States
761,M,Philipp Schuster,United States
762,M,Edward Siegler,United States
763,M,George Mayer,United States
764,M,Robert Maysack,United States
765,M,Charles Krause,United States
766,M,John Duha,United States
767,M,Edward Hennig,United States
768,M,Herman Glass,United States
769,M,Emil Voigt,United States
770,M,Ralph Wilson,United States
771,M,Lawrence H Pentland,Canada
772,M,Benjamin Jamieson,Canada
773,M,Hilliard Laidlaw,Canada
774,M,Eli Blanchard,Canada
775,M,Jack Flett,Canada
776,M,William Brennaugh,Canada
777,M,George Bretz,Canada
778,M,William Burns,Canada
779,M,George Cattanach,Canada
780,M,George Cloutier,Canada
781,M,Sandy Cowan,Canada
782,M,Hillard Lyle,Canada
783,M,Albert H. Venn,United States
784,M,A M Woods,United States
785,M,Jack Sullivan,United States
786,M,Tom Hunter,United States
787,M,W A Murphy,United States
788,M,W J Ross,United States
789,M,William Partridge,United States
790,M,George Passmore,United States
791,M,William Passmore,United States
792,M,J. W. Dowling,United States
793,M,Patrick Grogan,United States
794,M,W R Gibson,United States
795,M,Night Hawk,Canada
796,M,Snake Eater,Canada
797,M,Spotted Tail,Canada
798,M,Almighty Voice,Canada
799,M,Black Eagle,Canada
800,M,Black Hawk,Canada
801,M,Half Moon,Canada
802,M,Lightfoot,Canada
803,M,Flat Iron,Canada
804,M,Rain In Face,Canada
805,M,Red Jacket,Canada
806,M,Man Afraid Soap,Canada
807,M,Charles Jacobus,United States
808,M,Smith Streeter,United States
809,M,Charles Brown,United States
810,M,Frank Greer,United States
811,M,Constance Titus,United States
812,M,William Varley,United States
813,M,John Mulcahy,United States
814,M,James McLoughlin,United States
815,M,John Hoben,United States
816,M,Joseph Ravanack,United States
817,M,John Wells,United States
818,M,Joseph Ryan,United States
819,M,Robert Farnam,United States
820,M,John Joachim,United States
821,M,John Buerger,United States
822,M,George Dietz,United States
823,M,August Erker,United States
824,M,Albert Nasse,United States
825,M,Arthur Stockhoff,United States
826,M,Frederick Suerig,United States
827,M,Martin Fromanack,United States
828,M,Michael Begley,United States
829,M,Charles Aman,United States
830,M,Frank Dummerth,United States
831,M,John Freitag,United States
